edge_type_id target_query source_query distance_range dynamics_params syn_weight is_gap_junction model_template target_sections
100 "pop_name=='['PyrA', 'PyrC']'" "pop_name=='['PyrA', 'PyrC']'" "[0, 9999.9]" PN2PN_feng_min.json 1 NULL pyrD2pyrD_STFD ['basal']
101 pop_name=='['PV']' pop_name=='['PV']' "[0.0, 9999.9]" INT2INT_feng_min.json 1 NULL interD2interD_STFD ['somatic']
102 pop_name=='['PV']' pop_name=='['PV']' "[0.0, 9999.9]" INT2INT_feng_min.json 1 NULL interD2interD_STFD ['somatic']
103 pop_name=='['PV']' pop_name=='['PV']' "[0.0, 9999.9]" INT2INT_feng_min.json 1 NULL interD2interD_STFD ['somatic']
104 "pop_name=='['PyrA', 'PyrC']'" pop_name=='['PV']' "[0.0, 9999.9]" INT2PN_feng_min.json 1 NULL interD2pyrD_STFD ['somatic']
105 pop_name=='['PV']' "pop_name=='['PyrA', 'PyrC']'" "[0.0, 9999.9]" PN2INT_feng_min.json 1 NULL pyrD2interD_STFD ['basal']
106 "pop_name=='['PyrA', 'PyrC']'" pop_name=='['PV']' "[0.0, 9999.9]" INT2PN_feng_min.json 1 NULL interD2pyrD_STFD ['somatic']
107 pop_name=='['PV']' "pop_name=='['PyrA', 'PyrC']'" "[0.0, 9999.9]" PN2INT_feng_min.json 1 NULL pyrD2interD_STFD ['basal']
108 pop_name=='['SOM']' "pop_name=='['PyrA', 'PyrC']'" "[0.0, 9999.9]" PN2SOM_tyler.json 1 NULL pyrD2interD_P2SOM_STFD ['basal']
109 "pop_name=='['PyrA', 'PyrC']'" pop_name=='['SOM']' "[0.0, 9999.9]" SOM2PN_tyler.json 1 NULL interD2pyrD_SOM2P_STFD ['somatic']
110 pop_name=='['SOM']' pop_name=='['PV']' "[0.0, 9999.9]" INT2SOM_tyler.json 1 NULL interD2interD_SOMPV_STFD ['somatic']
111 pop_name=='['CR']' "pop_name=='['PyrA', 'PyrC']'" "[0.0, 9999.9]" PN2CR_tyler.json 1 NULL pyrD2interD_P2CR_STFD ['basal']
112 "pop_name=='['PyrA', 'PyrC']'" pop_name=='['CR']' "[0.0, 9999.9]" CR2PN_tyler.json 1 NULL interD2pyrD_CR2P_STFD ['somatic']
113 pop_name=='['PV']' pop_name=='['CR']' "[0.0, 9999.9]" CR2INT_tyler.json 1 NULL interD2interD_SOMPV_STFD ['basal']
114 pop_name=='['SOM']' pop_name=='['CR']' "[0.0, 9999.9]" CR2SOM_tyler.json 1 NULL interD2interD_SOMPV_STFD ['basal']
121 pop_name=='PV' pop_name=='PV' "[0.0, 300.0]" NULL 0.0005 True NULL ['somatic']
122 pop_name=='SOM' pop_name=='SOM' "[0.0, 300.0]" NULL 0.0005 True NULL ['somatic']
123 pop_name=='CR' pop_name=='CR' "[0.0, 300.0]" NULL 0.0005 True NULL ['somatic']
